Date,Category,IncidntNum
11/01/2010 12:00:00 AM,LARCENY/THEFT,2179
12/01/2010 12:00:00 AM,ARSON,6
12/01/2010 12:00:00 AM,VEHICLE THEFT,373
12/01/2010 12:00:00 AM,BURGLARY,387
12/01/2010 12:00:00 AM,STOLEN PROPERTY,55
12/01/2010 12:00:00 AM,LARCENY/THEFT,2129
12/01/2010 12:00:00 AM,VANDALISM,570
01/01/2011 12:00:00 AM,BURGLARY,442
01/01/2011 12:00:00 AM,LARCENY/THEFT,2109
01/01/2011 12:00:00 AM,STOLEN PROPERTY,77
01/01/2011 12:00:00 AM,VEHICLE THEFT,339
01/01/2011 12:00:00 AM,VANDALISM,663
01/01/2011 12:00:00 AM,ARSON,25
02/01/2011 12:00:00 AM,VEHICLE THEFT,312
02/01/2011 12:00:00 AM,STOLEN PROPERTY,62
02/01/2011 12:00:00 AM,ARSON,19
02/01/2011 12:00:00 AM,VANDALISM,590
02/01/2011 12:00:00 AM,BURGLARY,315
02/01/2011 12:00:00 AM,LARCENY/THEFT,1924
03/01/2011 12:00:00 AM,BURGLARY,374
03/01/2011 12:00:00 AM,VANDALISM,684
03/01/2011 12:00:00 AM,VEHICLE THEFT,465
03/01/2011 12:00:00 AM,ARSON,11
03/01/2011 12:00:00 AM,STOLEN PROPERTY,58
03/01/2011 12:00:00 AM,LARCENY/THEFT,2264
04/01/2011 12:00:00 AM,VEHICLE THEFT,359
04/01/2011 12:00:00 AM,LARCENY/THEFT,2037
04/01/2011 12:00:00 AM,VANDALISM,683
04/01/2011 12:00:00 AM,BURGLARY,377
04/01/2011 12:00:00 AM,STOLEN PROPERTY,55
04/01/2011 12:00:00 AM,ARSON,23
05/01/2011 12:00:00 AM,VEHICLE THEFT,375
05/01/2011 12:00:00 AM,VANDALISM,601
05/01/2011 12:00:00 AM,ARSON,14
05/01/2011 12:00:00 AM,BURGLARY,406
05/01/2011 12:00:00 AM,LARCENY/THEFT,2214
05/01/2011 12:00:00 AM,STOLEN PROPERTY,66
06/01/2011 12:00:00 AM,LARCENY/THEFT,2041
06/01/2011 12:00:00 AM,VANDALISM,571
06/01/2011 12:00:00 AM,STOLEN PROPERTY,69
06/01/2011 12:00:00 AM,BURGLARY,390
06/01/2011 12:00:00 AM,VEHICLE THEFT,350
06/01/2011 12:00:00 AM,ARSON,13
07/01/2011 12:00:00 AM,VEHICLE THEFT,274
07/01/2011 12:00:00 AM,BURGLARY,378
07/01/2011 12:00:00 AM,LARCENY/THEFT,2098
07/01/2011 12:00:00 AM,STOLEN PROPERTY,47
